Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A758164,*Phoebe,9/12/2017 10:58,9/12/2017 10:58,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,American Shorthair Mix,Tortie/Black
A758155,*Tulip,9/12/2017 10:58,9/12/2017 10:58,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 weeks,American Shorthair Mix,Tortie/White
A758165,Banjo Joey,9/12/2017 10:58,9/12/2017 10:58,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,American Shorthair Mix,White/Blue
A758152,,9/12/2017 10:58,9/12/2017 10:58,9404 Meadow Vale in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Chihuahua Shorthair Mix,Brown/Black
A758159,Rajah,9/12/2017 11:10,9/12/2017 11:10,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Brown Tabby/White
A750416,Rasheed,9/12/2017 11:10,9/12/2017 11:10,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Brown Tabby
A758163,,9/12/2017 11:47,9/12/2017 11:47,10620 Lanshire in Austin (TX),Stray,Sick,Dog,Intact Female,4 months,Golden Retriever Mix,Brown
A728221,Harley,9/12/2017 12:17,9/12/2017 12:17,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,German Shepherd Mix,Black/White
A758167,Olive,9/12/2017 12:21,9/12/2017 12:21,Nuckols Crossing And Teri Road in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,American Shorthair Mix,Brown Tabby/White
A758169,Luigi,9/12/2017 12:24,9/12/2017 12:24,12400 Mellow Meadow Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,11 years,Shih Tzu Mix,Gray/White
A758174,,9/12/2017 12:32,9/12/2017 12:32,2906 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,White/Gray
A758173,*Piglet,9/12/2017 12:33,9/12/2017 12:33,6Th Street And Chicon in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Tan/White
A758176,*Sweetie,9/12/2017 12:46,9/12/2017 12:46,4508 Caswell Ave in Austin (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black
A741785,Ginger,9/12/2017 12:49,9/12/2017 12:49,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,9 months,German Shepherd Mix,Tan/Black
A758177,Lola,9/12/2017 13:26,9/12/2017 13:26,Blanco Street And 9Th Street in Austin (TX),Stray,Normal,Dog,Intact Female,17 years,Labrador Retriever Mix,Tan/White
A758180,*Trigger,9/12/2017 13:45,9/12/2017 13:45,4708 Reyes Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Yellow
A758148,Linus,9/12/2017 14:04,9/12/2017 14:04,2212 Lakehurst Rd in Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,8 years,Lhasa Apso/Toy Poodle,White/Tan
A751461,Wilder,9/12/2017 14:10,9/12/2017 14:10,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Black/Tan Hound Mix,Black/Tan
A718223,Bubba,9/12/2017 14:11,9/12/2017 14:11,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,St. Bernard Rough Coat/Boxer,White/Brown
A758185,*Pauly,9/12/2017 14:41,9/12/2017 14:41,E Ben White Blvd And  S Ih 35 in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
A758183,*Fletcher,9/12/2017 14:43,9/12/2017 14:43,7901 Metrololis Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Brown
A758182,Tater,9/12/2017 14:43,9/12/2017 14:43,7901 Metrololis Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,White/Brown
A758186,Oso,9/12/2017 15:16,9/12/2017 15:16,Perlita in Austin (TX),Stray,Normal,Dog,Neutered Male,9 months,Chihuahua Shorthair Mix,Black
A758188,Honey,9/12/2017 15:34,9/12/2017 15:34,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,Dachshund Longhair Mix,White/Tan
A758189,,9/12/2017 15:38,9/12/2017 15:38,Suffolk in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Chicken Mix,White
A758190,*Elsie,9/12/2017 15:44,9/12/2017 15:44,24602 Fawn Dr in Travis (TX),Stray,Normal,Dog,Intact Female,7 months,Mastiff Mix,Brown Brindle
A758196,,9/12/2017 16:17,9/12/2017 16:17,1102 S Congress Ave in Austin (TX),Wildlife,Normal,Other,Unknown,6 months,Bat,Brown
A758195,Miss Rose,9/12/2017 16:20,9/12/2017 16:20,8926 N Lamar in Austin (TX),Public Assist,Normal,Cat,Intact Female,7 months,Domestic Shorthair Mix,Calico
