Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count
"14520 Thunderhead Rd,Austin,TX",30.37317389999999,-97.9305732,False,Cat,1
"1808 Maple Avenue,Austin,TX",30.2800181,-97.7163506,False,Dog,1
"Airport And Goodwin,Austin,TX",30.2681023,-97.69627299999999,False,Dog,0
"2500 Dovewood,Austin,TX",30.1897094,-97.7540832,False,Dog,1
"Southridge And Southport,Austin,TX",30.2328148,-97.7775267,False,Dog,21
"Warrington Drive,Austin,TX",30.3617755,-97.67474109999999,False,Dog,0
"9910 Bilbrook Pl,Austin,TX",30.1705412,-97.8173328,False,Dog,6
"403 E Ben White Blvd,Austin,TX",30.2199249,-97.76011450000001,False,Cat,9
"6807 Starcrest Lane,Austin,TX",30.3082092,-97.6394845,False,Cat,0
"Elm Creek Drive And Blue Meadow Drive,Austin,TX",30.1825618,-97.76615489999999,False,Dog,1
"Bee Caves Road @ Hwy 71,Travis,TX",30.3051325,-97.9360068,False,Dog,4
"6506 Hickman Avenue,Austin,TX",30.3180613,-97.6889784,False,Cat,5
"Bluff Springs Road And Quicksilver Drive,Austin,TX",30.1776585,-97.7698193,False,Dog,1
"3401 West Parmer Lane,Austin,TX",30.42247489999999,-97.7095576,False,Dog,3
"12001 Hispana Court,Austin,TX",30.4179258,-97.73013399999999,False,Dog,5
"5808 Mckinney Falls Parkway,Austin,TX",30.1807597,-97.721997,False,Dog,0
"8400 Old Bee Caves,Austin,TX",30.2515692,-97.8870768,False,Dog,3
"908 Cedar Glen,Austin,TX",30.2115084,-97.7850711,False,Cat,8
"Donald Drive And Claudia June Avenue,Austin,TX",30.442275,-97.68453919999999,False,Dog,0
"4705 Leather Leaf,Austin,TX",30.1896776,-97.7466668,False,Dog,1
"Metric And Cedar Bend Drive,Austin,TX",30.4082533,-97.69690159999999,False,Dog,17
"North Lamar And Rundberg,Austin,TX",30.363062,-97.6970274,False,Dog,0
"Escarpment And Convict Hill,Austin,TX",30.2257607,-97.86859570000001,False,Dog,4
"11005 Little Thicket Road,Austin,TX",30.243564,-98.00043,False,Dog,0
"7000 Comanche Trail,Austin,TX",30.41454779999999,-97.8857503,True,Dog,0
