Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count,Intakes within Radius
"2320 Gracy Farms Ln,Austin,TX",30.403637,-97.70896479999999,True,Dog,17.0,36.0
"6803 Blue Dawn Trl,Austin,TX",30.1829409,-97.76153749999999,True,Cat,2.0,89.0
"11441 N Ih 35,Austin,TX",30.8065951,-97.61578340000001,True,Dog,0.0,1.0
"201 Starbright Dr,Austin,TX",30.1947268,-97.78085709999999,True,Cat,6.0,76.0
"10307 Brownie St #D,Austin,TX",30.3685722,-97.68362069999999,True,Dog,1.0,62.0
"1300 Crossing Place,Austin,TX",30.238131,-97.7133667,True,Dog,3.0,90.0
"1308 Thornberry Rd,Del Valle,TX",30.2244234,-97.664987,True,Cat,0.0,16.0
"2801 Bushnell Dr,Austin,TX",30.2134949,-97.8151881,True,Dog,18.0,24.0
"12600 Linford Dr,Austin,TX",30.3944245,-97.6453904,True,Cat,2.0,19.0
"1803 Palma Plz,Austin,TX",30.2836585,-97.7633274,True,Cat,14.0,34.0
"4700 Pimlico Dr,Travis,TX",30.1800727,-97.6385877,True,Dog,0.0,9.0
"6209 Reicher Dr #B,Austin,TX",30.30782129999999,-97.6726984,True,Dog,2.0,59.0
"25212 Lakeview Dr,Travis,TX",30.4305412,-98.0878359,True,Cat,0.0,2.0
"1111 York Castle Dr,Travis,TX",30.4576423,-97.64721290000001,True,Dog,6.0,11.0
"2907 Kuhlman Ave,Austin,TX",30.2670279,-97.71010749999999,True,Dog,1.0,83.0
"2239 South Lamar,Austin,TX",30.247124,-97.77446859999999,True,Dog,19.0,41.0
"3014 W William Cannon,Austin,TX",30.2104837,-97.82074279999999,True,Cat,17.0,27.0
"6100 Kasper,Austin,TX",30.2271083,-97.7054708,True,Dog,2.0,84.0
"14007 Fm 812,Travis,TX",30.1191043,-97.6347012,True,Dog,0.0,5.0
"1401 St Edwards,Austin,TX",30.227962,-97.74716599999999,True,Dog,12.0,62.0
"5401 Fairmont Cir,Austin,TX",30.21887559999999,-97.79759779999999,True,Dog,42.0,41.0
"1720 Grand Avenue Pkwy,Travis,TX",30.4572273,-97.6632853,True,Dog,3.0,15.0
"210 S Amberwood,Hays,TX",30.0261896,-97.847946,True,Dog,0.0,1.0
